"","meanImp","medianImp","minImp","maxImp","normHits","decision"
"GMHI_good",0.0266443010166075,0.025243523065243,0.00816823537414525,0.0392657778508602,0,"Rejected"
"GMHI_bad",0.120625595207819,0.127035278278837,0.0799648258965954,0.165316452672201,0.112903225806452,"Rejected"
"Frac_of_core_functions_among_all",0.179346132172782,0.174704985425516,0.0724186451681304,0.301372881064489,0.693548387096774,"Confirmed"
"Frac_of_core_functions_found",0.0960886565200232,0.0919307528594122,0.0476615858966916,0.137283216792279,0.0161290322580645,"Rejected"
"Species_found_together",0.0532507611907769,0.0529946733198412,0.0181128374781159,0.0946937309428516,0,"Rejected"
"Func_contributions_per_species",0.113634246140974,0.102562394856447,0.0548823229251101,0.166418060865583,0.0645161290322581,"Rejected"
