"","meanImp","medianImp","minImp","maxImp","normHits","decision"
"GMHI_good",0.0114648886406044,0.00888215765969243,0.00140225724813027,0.0316287672780906,0,"Rejected"
"GMHI_bad",0.182274924343952,0.179727174581671,0.121826179295895,0.224955649661879,0.896551724137931,"Confirmed"
"Frac_of_core_functions_among_all",0.0913136740611726,0.0828759424687713,0.0418414885129556,0.140243728919226,0.0344827586206897,"Rejected"
"Frac_of_core_functions_found",0.0750686234472601,0.0781703013568744,0.0487385059772866,0.0966097734621347,0,"Rejected"
"Species_found_together",0.0965934381043759,0.102819885255265,0.050560782495156,0.16885465239333,0.206896551724138,"Rejected"
"Func_contributions_per_species",0.0961178293258346,0.100806906767342,0.0550229900578447,0.159769285766463,0.0344827586206897,"Rejected"
