"","meanImp","medianImp","minImp","maxImp","normHits","decision"
"GMHI_good",0.0253847933159965,0.0284247159709877,0.0107461458997235,0.0469345595601102,0,"Rejected"
"GMHI_bad",0.0616352453891183,0.0637962510846731,0.0413719027046921,0.0767118901399252,0,"Rejected"
"Frac_of_core_functions_among_all",0.250637001205614,0.247633599515996,0.196472762945916,0.33235026773136,1,"Confirmed"
"Frac_of_core_functions_found",0.0736407165958457,0.0767471407101064,0.0506430975371358,0.0984004248892237,0,"Rejected"
"Species_found_together",0.0480616698781206,0.0399521445716094,0.0308473781114605,0.104788170630956,0,"Rejected"
"Func_contributions_per_species",0.11814697997115,0.117330057699566,0.0785358521760721,0.162615738650865,0.454545454545455,"Tentative"
