"","meanImp","medianImp","minImp","maxImp","normHits","decision"
"GMHI_good",0.0459934812957159,0.048688784958731,0,0.0772348549258974,0.0350877192982456,"Rejected"
"GMHI_bad",0.0824250271411617,0.0869172090966047,0,0.166676503973835,0.298245614035088,"Rejected"
"Frac_of_core_functions_among_all",0.327078992641577,0.331776213724526,0.231168503812765,0.411573859139067,0.964912280701754,"Confirmed"
"Frac_of_core_functions_found",0.00924044546262807,0.00580699182992835,0,0.039312334927231,0,"Rejected"
"Species_found_together",0.0162882193224615,0.0132369223404508,0.00780081070581441,0.0359504692447315,0,"Rejected"
"Func_contributions_per_species",0.274029192067369,0.311542199192037,0,0.386165325313278,0.736842105263158,"Confirmed"
