"","meanImp","medianImp","minImp","maxImp","normHits","decision"
"GMHI_good",0.0762625724817951,0.0707331879881673,0.0580900129471062,0.103712945262839,0.0689655172413793,"Rejected"
"GMHI_bad",0.0938406432234901,0.091207151173305,0.046515444234854,0.153860837017044,0.0689655172413793,"Rejected"
"Frac_of_core_functions_among_all",0.107362235552714,0.102423880984966,0.052812358467457,0.191236186068197,0.206896551724138,"Rejected"
"Frac_of_core_functions_found",0.0346996522006208,0.035537187580856,0.00404644874304733,0.0867592420147711,0.0344827586206897,"Rejected"
"Species_found_together",0.0665333663893377,0.061192615205921,0.0318890033420577,0.11377629488465,0.0689655172413793,"Rejected"
"Func_contributions_per_species",0.186074825390028,0.184650988217295,0.125902950933462,0.239666776730937,0.793103448275862,"Confirmed"
