"","meanImp","medianImp","minImp","maxImp","normHits","decision"
"GMHI_good",0.0192390534189535,0.0180580657167395,0.00016386644791925,0.0377075221865831,0,"Rejected"
"GMHI_bad",0.0371394026181915,0.031565997074927,0.0102560137981316,0.0831702667417977,0,"Rejected"
"Frac_of_core_functions_among_all",0.285541823086805,0.278028828516835,0.211602224062569,0.3463179285127,0.928571428571429,"Confirmed"
"Frac_of_core_functions_found",0.0166815986341541,0.00983084330041225,0,0.067022910846227,0,"Rejected"
"Species_found_together",0.0559632337810385,0.0404048469860072,0.0169581259384843,0.126587125601716,0,"Rejected"
"Func_contributions_per_species",0.278138554635745,0.284057907521279,0.230204224441562,0.339493185611456,0.928571428571429,"Confirmed"
