"","meanImp","medianImp","minImp","maxImp","normHits","decision"
"GMHI_good",0.0107707980137908,0.00848410653807586,0,0.0261049129223569,0,"Rejected"
"GMHI_bad",0.166702717090736,0.164021608753707,0.0709310052761226,0.310053877636391,0.444444444444444,"Tentative"
"Frac_of_core_functions_among_all",0.169501028912729,0.165646539430375,0.0169397038414937,0.329249521115357,0.424242424242424,"Tentative"
"Frac_of_core_functions_found",0.0640862575408215,0.0506445127495679,0.00954071225688042,0.154355203158753,0.0101010101010101,"Rejected"
"Species_found_together",0.0348781543709099,0.0360212978522166,0,0.0762485475185486,0,"Rejected"
"Func_contributions_per_species",0.188642563506079,0.195078603306338,0.0187738738464175,0.342507204103997,0.565656565656566,"Tentative"
