"","meanImp","medianImp","minImp","maxImp","normHits","decision"
"GMHI_good",0.00813846246414358,0.000185514208651681,0,0.0343575865562573,0,"Rejected"
"GMHI_bad",0.132006776132949,0.108404450495804,0,0.42550562382593,0.243243243243243,"Rejected"
"Frac_of_core_functions_among_all",0.0749149347706659,0.0815918808303534,0,0.134457304008282,0.027027027027027,"Rejected"
"Frac_of_core_functions_found",0.00516685667220304,0,0,0.0290607074012762,0,"Rejected"
"Species_found_together",0.348767964049387,0.353331142970151,0,0.482680016994668,0.864864864864865,"Confirmed"
"Func_contributions_per_species",0.0549391300093912,0.0071583937865777,0,0.212431065143297,0.027027027027027,"Rejected"
