"","meanImp","medianImp","minImp","maxImp","normHits","decision"
"GMHI_good",0.00712542781571649,0.00684567539729893,0.0018385647348598,0.0201128591413441,0,"Rejected"
"GMHI_bad",0.360142628267017,0.358664730039509,0.299332886933331,0.425009092457814,1,"Confirmed"
"Frac_of_core_functions_among_all",0.059160816815223,0.0548525147980282,0.0200514008931305,0.104647215215844,0,"Rejected"
"Frac_of_core_functions_found",0.0800486100077231,0.0774307643308193,0.0452876734743358,0.117000278218491,0,"Rejected"
"Species_found_together",0.0222994102676111,0.0224854568227262,0,0.0817386013843943,0,"Rejected"
"Func_contributions_per_species",0.147496387599237,0.141860147749912,0.0571739946271374,0.249282365069161,0.606060606060606,"Tentative"
