"","meanImp","medianImp","minImp","maxImp","normHits","decision"
"GMHI_good",0.0119959155077729,0.00315810924247193,0.000231664207018414,0.0374833193726922,0,"Rejected"
"GMHI_bad",0.0967554880813773,0.0968004632431385,0.0333310135132784,0.144049089266751,0.04,"Rejected"
"Frac_of_core_functions_among_all",0.128953415990887,0.124535904873501,0.0399098757460988,0.223035406989248,0.28,"Rejected"
"Frac_of_core_functions_found",0.0614964959311491,0.0550411753391125,0.021048817991213,0.111617984817776,0,"Rejected"
"Species_found_together",0.0927267468588378,0.0967742635164602,0.0257703986050172,0.159902101083485,0.08,"Rejected"
"Func_contributions_per_species",0.130435118644677,0.122128216386373,0.0760223168169917,0.198011246834812,0.14,"Rejected"
