"","meanImp","medianImp","minImp","maxImp","normHits","decision"
"GMHI_good",0.0329589429617333,0.0346479192545592,0.00910366985007586,0.0558953455550252,0,"Rejected"
"GMHI_bad",0.55510769710675,0.548412031317472,0.467820737478086,0.644753262686446,1,"Confirmed"
"Frac_of_core_functions_among_all",0.0671552307082613,0.0635242484715197,0.0120647014393339,0.180351104522446,0.0357142857142857,"Rejected"
"Frac_of_core_functions_found",0.0140338336214748,0.0147792833701808,0,0.0361093268581322,0,"Rejected"
"Species_found_together",0.0157250252149368,0.0159128116230042,0,0.0456279318790861,0,"Rejected"
"Func_contributions_per_species",0.096982091297097,0.0989720411039184,0.0292939642865389,0.176723929440932,0.333333333333333,"Rejected"
