"","meanImp","medianImp","minImp","maxImp","normHits","decision"
"GMHI_good",0.016820625377791,0,0,0.0836285164802915,0,"Rejected"
"GMHI_bad",0.0414852860703178,0.00121019426745507,0,0.195094730388043,0,"Rejected"
"Frac_of_core_functions_among_all",0.0119350824736607,0,0,0.118284151168855,0,"Rejected"
"Frac_of_core_functions_found",0.0989391686496129,0.137332190296662,0,0.156494538376669,0,"Rejected"
"Species_found_together",0.357316969849685,0.351286977224278,0,0.665580646734624,0.585858585858586,"Tentative"
"Func_contributions_per_species",0.162054861357922,0.160167944545166,0,0.324102860336841,0.0202020202020202,"Rejected"
