"","meanImp","medianImp","minImp","maxImp","normHits","decision"
"GMHI_good",0.0091717296508284,0.0116654276092673,3.10569493951974e-05,0.023099575607639,0,"Rejected"
"GMHI_bad",0.1682554475719,0.166346533600496,0.122359139260146,0.250338112851641,0.707070707070707,"Confirmed"
"Frac_of_core_functions_among_all",0.162732270550962,0.166052748952676,0.0707910190191625,0.284996141742283,0.676767676767677,"Confirmed"
"Frac_of_core_functions_found",0.10447573108375,0.104068164713056,0.0228709694250089,0.153727829251339,0.202020202020202,"Rejected"
"Species_found_together",0.0836964484998411,0.0838804062914465,0.0425676907708689,0.11570149787864,0.0101010101010101,"Rejected"
"Func_contributions_per_species",0.128473879162561,0.134285750113357,0.0445304401143928,0.245768981931114,0.393939393939394,"Tentative"
