"","meanImp","medianImp","minImp","maxImp","normHits","decision"
"GMHI_good",0.0492861661010428,0.0456070533430135,0.0326395492660182,0.0808654993866307,0.117647058823529,"Rejected"
"GMHI_bad",0.0492425920593243,0.0496205923758479,0.0213937997099325,0.0712238243956609,0,"Rejected"
"Frac_of_core_functions_among_all",0.186635917677738,0.194374843984572,0.0875528756765816,0.243850972758861,0.941176470588235,"Confirmed"
"Frac_of_core_functions_found",0.0229678611623821,0.0222639546942052,0.0104247028894595,0.0343253257124621,0,"Rejected"
"Species_found_together",0.329640715334156,0.322991539601045,0.302868178890079,0.367847160631469,1,"Confirmed"
"Func_contributions_per_species",0.105160427270434,0.108776042623252,0.0473041884471778,0.154744952374025,0.588235294117647,"Confirmed"
