"","meanImp","medianImp","minImp","maxImp","normHits","decision"
"GMHI_good",0.0245130629450097,0.0221050809860935,0.0107296168526338,0.049719353154995,0,"Rejected"
"GMHI_bad",0.104235345555845,0.109137339993098,0.0869992209934023,0.118546768465657,0.021978021978022,"Rejected"
"Frac_of_core_functions_among_all",0.144487578018403,0.142418584273978,0.0762991816154782,0.249894632599855,0.340659340659341,"Rejected"
"Frac_of_core_functions_found",0.0607873437368023,0.0589846067043034,0.0380875665714744,0.0949696676189395,0,"Rejected"
"Species_found_together",0.0682429446256817,0.0652825021988443,0.0460364049073805,0.0904441657777204,0,"Rejected"
"Func_contributions_per_species",0.117123198778988,0.11357045048726,0.0559905129508077,0.177395970119282,0.0549450549450549,"Rejected"
