"","meanImp","medianImp","minImp","maxImp","normHits","decision"
"GMHI_good",0.0336240111121087,0.0311577258135467,0.0122066384032672,0.0665295586235221,0,"Rejected"
"GMHI_bad",0.141371132723114,0.139871458903293,0.0890277714364166,0.222190315849355,0.121212121212121,"Rejected"
"Frac_of_core_functions_among_all",0.102249986760374,0.0924689890689658,0.0381888846405375,0.204383710099904,0.0303030303030303,"Rejected"
"Frac_of_core_functions_found",0.0868036731988213,0.0889456963521053,0.037538848990963,0.150423590400432,0,"Rejected"
"Species_found_together",0.0233929084823796,0.020157627709413,0,0.0593061940911204,0,"Rejected"
"Func_contributions_per_species",0.157556785693482,0.158008014854674,0.0557233261626717,0.274035453696141,0.353535353535354,"Tentative"
