"","meanImp","medianImp","minImp","maxImp","normHits","decision"
"GMHI_good",0.0029650231025306,0,0,0.0264207502060552,0,"Rejected"
"GMHI_bad",0.0572242526265928,0.0587593996189576,0,0.151408703225054,0.444444444444444,"Tentative"
"Frac_of_core_functions_among_all",0.128274734241056,0.135285983866605,0,0.284014835565048,0.595959595959596,"Tentative"
"Frac_of_core_functions_found",0.0747152580116624,0.105029411735421,0,0.181416426224039,0.484848484848485,"Tentative"
"Species_found_together",0.419062584629042,0.417962159603134,0.0700027204561337,0.55781244482166,0.97979797979798,"Confirmed"
"Func_contributions_per_species",0.181486868205287,0.194186312202955,0.0390918240295241,0.262067872892239,0.686868686868687,"Confirmed"
