"","meanImp","medianImp","minImp","maxImp","normHits","decision"
"GMHI_good",0.410749478638976,0.38901179926219,0,0.705140148879586,0.787234042553192,"Confirmed"
"GMHI_bad",0.0208119807425824,0,0,0.23790979740324,0.25531914893617,"Rejected"
"Frac_of_core_functions_among_all",0.0112620005259119,0,0,0.112620005259119,0,"Rejected"
"Frac_of_core_functions_found",0.0883661287397516,0.0933024457513672,0,0.168929645155804,0.659574468085106,"Confirmed"
"Species_found_together",0.13791914846278,0.165150881330306,0,0.242074607981369,0.670212765957447,"Confirmed"
"Func_contributions_per_species",0.15376528495278,0.13030961936279,0,0.456552713328625,0.712765957446808,"Confirmed"
