"","meanImp","medianImp","minImp","maxImp","normHits","decision"
"GMHI_good",0.00774691298380759,0.00582662364388774,0.000274248016295222,0.0188248739553982,0,"Rejected"
"GMHI_bad",0.313554030535499,0.316692090675654,0.260422708124394,0.348018410864728,1,"Confirmed"
"Frac_of_core_functions_among_all",0.172625865309146,0.17020889812522,0.11246725013537,0.222274721656399,0.973333333333333,"Confirmed"
"Frac_of_core_functions_found",0.0591522333048747,0.0560398750042802,0.0385103322786707,0.0954873203020248,0.0266666666666667,"Rejected"
"Species_found_together",0.0393178986214327,0.0384671582966941,0.0262340064376044,0.0514926525957685,0,"Rejected"
"Func_contributions_per_species",0.0905381685525886,0.0880276390559611,0.0529667884697699,0.138092384264923,0.32,"Rejected"
