"","meanImp","medianImp","minImp","maxImp","normHits","decision"
"GMHI_good",0.0224793292154016,0.0114666465822024,0,0.102239339924749,0,"Rejected"
"GMHI_bad",0.126051983220907,0.111098325292129,0.0819209292176078,0.198853717817105,0.117647058823529,"Rejected"
"Frac_of_core_functions_among_all",0.0844246819240085,0.0871706124622272,0.00734588669126694,0.179444201472503,0.117647058823529,"Rejected"
"Frac_of_core_functions_found",0.109464819965124,0.106485237844331,0.0508016863727656,0.228030501451009,0.0588235294117647,"Rejected"
"Species_found_together",0.0366158248255948,0.0272980509903099,0,0.113242972636163,0,"Rejected"
"Func_contributions_per_species",0.108686718387833,0.116819217007592,0,0.175340850809655,0.0588235294117647,"Rejected"
