"","meanImp","medianImp","minImp","maxImp","normHits","decision"
"GMHI_good",0.0533104480722035,0.0424125963652979,0.0164390975431076,0.132186216464777,0,"Rejected"
"GMHI_bad",0.0550572490308565,0.0492383173403072,0.0104436195245866,0.112307351034418,0,"Rejected"
"Frac_of_core_functions_among_all",0.161383967378051,0.15885380249824,0.0495147376920207,0.262485904887615,0.243243243243243,"Rejected"
"Frac_of_core_functions_found",0.0967056973460073,0.10246637960602,0.0363108740771882,0.158072915725275,0.027027027027027,"Rejected"
"Species_found_together",0.0498499677472882,0.0475517732340913,0,0.103972581523503,0,"Rejected"
"Func_contributions_per_species",0.110605675958741,0.110470167012296,0.0179632792272848,0.199396009587992,0.0540540540540541,"Rejected"
