"","meanImp","medianImp","minImp","maxImp","normHits","decision"
"GMHI_good",0.0164515643910184,0.011257282524528,0.00136612486566145,0.042497381645321,0,"Rejected"
"GMHI_bad",0.180244736896424,0.180885456361864,0.108307852768526,0.242607608577345,0.818181818181818,"Confirmed"
"Frac_of_core_functions_among_all",0.196957187940241,0.202720367219783,0.0608869411282031,0.276990802501286,0.828282828282828,"Confirmed"
"Frac_of_core_functions_found",0.0475684388868294,0.0414280405433087,0.0060136853140972,0.081577008655461,0.0101010101010101,"Rejected"
"Species_found_together",0.0350979007634452,0.0362750987339222,0.00622547544817411,0.0643321955921255,0,"Rejected"
"Func_contributions_per_species",0.151892112735321,0.149276154071299,0.0413006295712745,0.24984466269629,0.525252525252525,"Tentative"
