"","meanImp","medianImp","minImp","maxImp","normHits","decision"
"GMHI_good",0.0215896178248154,0.0201296072653832,0.00509503189214471,0.0471613301309696,0,"Rejected"
"GMHI_bad",0.145383535756104,0.145096249788846,0.0674183175578896,0.230049418821304,0.525252525252525,"Tentative"
"Frac_of_core_functions_among_all",0.0687466899025155,0.0615255067585813,0.0348010895906713,0.128176030928696,0.0303030303030303,"Rejected"
"Frac_of_core_functions_found",0.0415843348215249,0.0413770854815237,0.00526841218516759,0.102280703737958,0,"Rejected"
"Species_found_together",0.113546865330008,0.110643962688247,0.0479006626046344,0.21605599536347,0.131313131313131,"Rejected"
"Func_contributions_per_species",0.285215057081634,0.290341171060167,0.169248639564884,0.376478423784101,0.919191919191919,"Confirmed"
