"","meanImp","medianImp","minImp","maxImp","normHits","decision"
"GMHI_good",0.0628192750272688,0.0660696470868039,0,0.0950816601539154,0,"Rejected"
"GMHI_bad",0.00730191822524682,0.00354232235957903,0,0.0374574111935836,0,"Rejected"
"Frac_of_core_functions_among_all",0.11858175917609,0.119600154346035,0.0124277213360009,0.28253371179708,0.172413793103448,"Rejected"
"Frac_of_core_functions_found",0.122416769734102,0.11680947534264,0.00208104309155418,0.27639733320055,0.206896551724138,"Rejected"
"Species_found_together",0.0339420669959072,0.0276876979585298,0,0.128861667809161,0.0344827586206897,"Rejected"
"Func_contributions_per_species",0.136544642966214,0.139520965963854,0.0343395481536755,0.204346107967099,0.172413793103448,"Rejected"
