"","meanImp","medianImp","minImp","maxImp","normHits","decision"
"GMHI_good",0.0265189599298191,0.0225220024775234,0,0.0673606494272,0,"Rejected"
"GMHI_bad",0.069269644505452,0.0511065197548709,0,0.234335351872489,0.0714285714285714,"Rejected"
"Frac_of_core_functions_among_all",0.0897635198979152,0.103431574513662,0,0.182235861208535,0,"Rejected"
"Frac_of_core_functions_found",0.10210910812842,0.0896561484753547,0,0.282192839867308,0,"Rejected"
"Species_found_together",0.00520971207536873,0,0,0.0411453625126348,0,"Rejected"
"Func_contributions_per_species",0.00944822674445025,0,0,0.069648691094774,0,"Rejected"
