"","meanImp","medianImp","minImp","maxImp","normHits","decision"
"GMHI_good",0.00180114526922913,0.00193521727338629,0,0.00377058083780705,0,"Rejected"
"GMHI_bad",0.571538772834172,0.572358921939926,0.540823969839614,0.591404377189543,1,"Confirmed"
"Frac_of_core_functions_among_all",0.119709916046925,0.11319822660724,0.0968024961633363,0.153296002941145,1,"Confirmed"
"Frac_of_core_functions_found",0.0294715255907979,0.0268360813337293,0.00668282677479511,0.0489766099716275,0.173913043478261,"Rejected"
"Species_found_together",0.0137519029538731,0.0150009891484211,0.00298612617426028,0.0323176072170932,0,"Rejected"
"Func_contributions_per_species",0.0941606725841607,0.097257783015514,0.0454920227279528,0.133078220325375,0.869565217391304,"Confirmed"
