Diagnosis	GMHI
10000000	-1.77163630205535
1000000	0
100000	0
15000000	-1.87015915863458
20000000	-2.18278552408522
2000000	0
300000	0
5000000	-0.787647608287527
500000	0
7000000	-1.30031726768096
800000	0
10000000	1.89294621559667
1000000	2.8066443165368
100000	0
15000000	1.7634997879561
20000000	1.44958641663964
2000000	2.77571499909024
300000	2.81251996264053
5000000	2.56817611526538
500000	2.81957018884177
7000000	2.38098560948941
800000	2.80120002575529
10000000	1.05117535714741
1000000	2.6582545103504
100000	0
15000000	0.869660980391641
20000000	0.718108853076482
2000000	2.69550088032252
300000	2.63271858451224
5000000	1.25564957360396
500000	2.65563327531123
7000000	1.11461351071664
800000	2.68463895993416
10000000	-3.91878568940177
1000000	-3.66741733186908
100000	-2.15659422686665
15000000	-3.91652982986379
20000000	-3.99216752500448
2000000	-3.75016369293821
300000	-3.07868376365723
5000000	-3.87155848265824
500000	-3.30923394420571
7000000	-3.91718768320025
800000	-3.54184150576791
10000000	-0.285213133416279
1000000	0.142051452951693
100000	0
15000000	-0.480809742429427
20000000	-0.495596425625087
2000000	0.124872841987187
300000	0
5000000	-0.129537352626292
500000	-0.019857203284551
7000000	-0.157786262457214
800000	0.426488752754517
